codigo,nome_do_curso,total_vagas,inscritos,cv,ano
108.0,ciencias biologicas,60.0,1044.0,17.4,2004
302.0,ciencias contabeis  diurno,80.0,380.0,4.75,2004
317.0,ciencias contabeis  noturno,80.0,767.0,9.59,2004
208.0,ciencias da computacao,100.0,1036.0,10.36,2004
304.0,ciencias economicas  diurno,90.0,360.0,4.0,2004
318.0,ciencias economicas  noturno,90.0,427.0,4.74,2004
310.0,ciencias sociais  diurno,40.0,174.0,4.35,2004
320.0,ciencias sociais  noturno,40.0,207.0,5.18,2004
420.0,comunicacao e expressao visual,60.0,796.0,13.27,2004
303.0,direito  diurno,80.0,1372.0,17.15,2004
5.0,direito  noturno,80.0,1454.0,18.18,2004
404.0,educacao fisica,120.0,1563.0,13.03,2004
101.0,enfermagem,70.0,908.0,12.97,2004
220.0,eng de controle e automacao industrial,60.0,926.0,15.43,2004
201.0,engenharia civil,100.0,712.0,7.12,2004
215.0,engenharia de alimentos,45.0,386.0,8.58,2004
234.0,engenharia de aquicultura,60.0,460.0,7.67,2004
233.0,engenharia de materiais,60.0,267.0,4.45,2004
212.0,engenharia de producao civil,35.0,180.0,5.14,2004
213.0,engenharia de producao eletrica,35.0,161.0,4.6,2004
214.0,engenharia de producao mecanica,35.0,253.0,7.23,2004
202.0,engenharia eletrica,100.0,762.0,7.62,2004
203.0,engenharia mecanica,100.0,1029.0,10.29,2004
216.0,engenharia quimica,45.0,382.0,8.49,2004
211.0,engenharia sanitaria e ambiental,80.0,671.0,8.39,2004
102.0,farmacia,120.0,1284.0,10.7,2004
329.0,filosofia  noturno,35.0,163.0,4.66,2004
328.0,filosofia  vespertinonoturno,35.0,95.0,2.71,2004
2.0,fisica  bacharelado  diurno,45.0,146.0,3.24,2004
225.0,fisica  licenciatura  noturno,65.0,215.0,3.31,2004
331.0,geografia  diurno,40.0,171.0,4.28,2004
332.0,geografia  noturno,40.0,333.0,8.33,2004
326.0,historia  diurno,45.0,246.0,5.47,2004
327.0,historia  noturno,45.0,386.0,8.58,2004
415.0,jornalismo,60.0,1278.0,21.3,2004
421.0,letras  lingua alema  diurno,40.0,101.0,2.53,2004
423.0,letras  lingua espanhola,40.0,144.0,3.6,2004
424.0,letras  lingua francesa,40.0,125.0,3.13,2004
425.0,letras  lingua inglesa,40.0,282.0,7.05,2004
427.0,letras  lingua italiana,40.0,70.0,1.75,2004
428.0,letras  lingua portuguesa,40.0,181.0,4.53,2004
426.0,letras  lingua portuguesa  noturno,40.0,182.0,4.55,2004
429.0,letras  secretar executivo ingles bel,40.0,243.0,6.08,2004
223.0,matematica  licenciatura  diurno,65.0,240.0,3.69,2004
224.0,matematica  licenciatura  noturno,40.0,196.0,4.9,2004
222.0,matematica e computacao cientifica,30.0,120.0,4.0,2004
103.0,medicina,100.0,4492.0,44.92,2004
9.0,nutricao,40.0,801.0,20.03,2004
104.0,odontologia,90.0,1252.0,13.91,2004
308.0,pedagogia,100.0,711.0,7.11,2004
319.0,psicologia,80.0,1208.0,15.1,2004
217.0,quimica,80.0,423.0,5.29,2004
309.0,servico social  diurno,80.0,419.0,5.24,2004
339.0,servico social  noturno,60.0,396.0,6.6,2004
238.0,sistemas de informacao  noturno,100.0,910.0,9.1,2004
301.0,administracao  diurno,90.0,1050.0,11.67,2005
316.0,administracao  noturno,90.0,897.0,9.97,2005
501.0,agronomia,90.0,944.0,10.49,2005
207.0,arquitetura e urbanismo,80.0,1329.0,16.61,2005
324.0,biblioteconomia  noturno,80.0,250.0,3.13,2005
108.0,ciencias biologicas,60.0,1134.0,18.9,2005
302.0,ciencias contabeis  diurno,80.0,647.0,8.09,2005
317.0,ciencias contabeis  noturno,80.0,499.0,6.24,2005
208.0,ciencias da computacao,100.0,906.0,9.06,2005
304.0,ciencias economicas  diurno,90.0,414.0,4.6,2005
318.0,ciencias economicas  noturno,90.0,576.0,6.4,2005
310.0,ciencias sociais  diurno,40.0,222.0,5.55,2005
320.0,ciencias sociais  noturno,40.0,173.0,4.33,2005
450.0,cinema,30.0,740.0,24.67,2005
420.0,design,60.0,957.0,15.95,2005
303.0,direito  diurno,80.0,1637.0,20.46,2005
5.0,direito  noturno,80.0,1221.0,15.26,2005
404.0,educacao fisica,120.0,1394.0,11.62,2005
101.0,enfermagem,70.0,748.0,10.69,2005
220.0,eng de controle e automacao industrial,60.0,858.0,14.3,2005
201.0,engenharia civil,100.0,742.0,7.42,2005
215.0,engenharia de alimentos,45.0,362.0,8.04,2005
234.0,engenharia de aquicultura,60.0,474.0,7.9,2005
233.0,engenharia de materiais,60.0,301.0,5.02,2005
212.0,engenharia de producao civil,35.0,176.0,5.03,2005
213.0,engenharia de producao eletrica,35.0,194.0,5.54,2005
214.0,engenharia de producao mecanica,35.0,315.0,9.0,2005
202.0,engenharia eletrica,100.0,748.0,7.48,2005
203.0,engenharia mecanica,100.0,1223.0,12.23,2005
216.0,engenharia quimica,45.0,523.0,11.62,2005
211.0,engenharia sanitaria e ambiental,80.0,661.0,8.26,2005
102.0,farmacia,120.0,1406.0,11.72,2005
329.0,filosofia  noturno,35.0,124.0,3.54,2005
328.0,filosofia  vespertinonoturno,35.0,223.0,6.37,2005
2.0,fisica  bacharelado  diurno,45.0,204.0,4.53,2005
225.0,fisica  licenciatura  noturno,65.0,266.0,4.09,2005
331.0,geografia  diurno,40.0,332.0,8.3,2005
332.0,geografia  noturno,40.0,180.0,4.5,2005
326.0,historia  diurno,45.0,346.0,7.69,2005
327.0,historia  noturno,45.0,209.0,4.64,2005
415.0,jornalismo,60.0,1200.0,20.0,2005
421.0,letras  lingua alema  diurno,40.0,82.0,2.05,2005
423.0,letras  lingua espanhola,40.0,171.0,4.28,2005
424.0,letras  lingua francesa,40.0,91.0,2.28,2005
425.0,letras  lingua inglesa,40.0,263.0,6.58,2005
427.0,letras  lingua italiana,40.0,253.0,6.33,2005
428.0,letras  lingua portuguesa,40.0,179.0,4.48,2005
426.0,letras  lingua portuguesa  noturno,40.0,194.0,4.85,2005
429.0,letras  secretar executivo ingles bel,40.0,275.0,6.88,2005
223.0,matematica  licenciatura  diurno,65.0,221.0,3.4,2005
224.0,matematica  licenciatura  noturno,40.0,199.0,4.98,2005
222.0,matematica e computacao cientiifica,30.0,76.0,2.53,2005
103.0,medicina,100.0,5576.0,55.76,2005
9.0,nutricao,40.0,738.0,18.45,2005
104.0,odontologia,90.0,1369.0,15.21,2005
308.0,pedagogia,100.0,534.0,5.34,2005
319.0,psicologia,80.0,1207.0,15.09,2005
217.0,quimica,80.0,342.0,4.28,2005
309.0,servico social  diurno,80.0,416.0,5.2,2005
339.0,servico social  noturno,60.0,315.0,5.25,2005
238.0,sistemas de informacao  noturno,100.0,818.0,8.18,2005
301.0,administracao  diurno,90.0,706.0,7.84,2006
316.0,administracao  noturno,90.0,1047.0,11.63,2006
501.0,agronomia,90.0,628.0,6.98,2006
207.0,arquitetura e urbanismo,80.0,1175.0,14.69,2006
324.0,biblioteconomia  noturno,80.0,283.0,3.54,2006
108.0,ciencias biologicas,60.0,1035.0,17.25,2006
302.0,ciencias contabeis  diurno,80.0,352.0,4.4,2006
317.0,ciencias contabeis  noturno,80.0,693.0,8.66,2006
208.0,ciencias da computacao,100.0,803.0,8.03,2006
304.0,ciencias economicas  diurno,90.0,341.0,3.79,2006
318.0,ciencias economicas  noturno,90.0,350.0,3.89,2006
