codigo,nome_do_curso,acertos_do_primeiro,acertos_do_ultimo,total_de_vagas,ano
404.0,educacao fisica  licenciatura,69.86,45.57,60.0,2007
101.0,enfermagem,69.7,47.59,70.0,2007
220.0,eng de controle e automacao ind,81.19,69.83,60.0,2007
201.0,engenharia civil,74.4,61.13,100.0,2007
215.0,engenharia de alimentos,81.74,58.99,45.0,2007
234.0,engenharia de aquicultura,72.35,46.38,60.0,2007
233.0,engenharia de materiais,75.67,61.66,60.0,2007
212.0,engenharia de producao civil,74.84,62.39,35.0,2007
213.0,engenharia de producao eletrica,72.37,62.11,35.0,2007
214.0,engenharia de producao mecanica,76.94,69.64,35.0,2007
202.0,engenharia eletrica,75.17,63.27,100.0,2007
203.0,engenharia mecanica,85.11,69.71,100.0,2007
216.0,engenharia quimica,80.31,66.13,45.0,2007
211.0,engenharia sanitaria e ambiental,78.89,60.17,80.0,2007
102.0,farmacia,81.48,56.11,120.0,2007
329.0,filosofia  noturno,71.84,43.21,35.0,2007
328.0,filosofia  vespertinonoturno,60.35,46.79,35.0,2007
2.0,fisica  bacharelado  diurno,73.91,48.43,45.0,2007
225.0,fisica  licenciatura  noturno,83.8,42.99,65.0,2007
331.0,geografia  diurno,74.18,47.89,40.0,2007
332.0,geografia  noturno,70.29,43.73,40.0,2007
326.0,historia  diurno,68.98,50.18,45.0,2007
327.0,historia  noturno,73.7,44.25,45.0,2007
415.0,jornalismo,81.07,67.9,60.0,2007
421.0,letras  lingua alema,69.62,40.25,40.0,2007
423.0,letras  lingua espanhola,58.53,41.19,40.0,2007
424.0,letras  lingua francesa,65.59,43.29,40.0,2007
425.0,letras  lingua inglesa,70.35,50.46,40.0,2007
427.0,letras  lingua italiana,58.35,38.8,40.0,2007
428.0,letras  lingua portuguesa,71.47,47.14,40.0,2007
426.0,letras  lingua portuguesa  not,67.4,44.62,40.0,2007
429.0,letras  secretariado exec ingles,71.63,44.83,40.0,2007
223.0,matematica  licenc  diurno,71.53,37.89,65.0,2007
224.0,matematica  licenciatura  not,65.77,34.42,40.0,2007
222.0,matematica e comput cientifica,68.32,41.7,30.0,2007
103.0,medicina,85.49,77.58,100.0,2007
9.0,nutricao,71.85,57.3,40.0,2007
104.0,odontologia,76.91,60.6,90.0,2007
308.0,pedagogia,64.46,36.95,100.0,2007
319.0,psicologia,77.05,57.16,80.0,2007
217.0,quimica,70.13,45.37,80.0,2007
309.0,servico social  diurno,67.4,39.54,80.0,2007
339.0,servico social  noturno,52.98,35.33,60.0,2007
238.0,sistemas de informacao  noturno,77.96,55.73,100.0,2007
301.0,administracao  diurno,76.3,60.96,63.0,2008
316.0,administracao  noturno,76.93,62.24,63.0,2008
501.0,agronomia,75.84,53.62,63.0,2008
207.0,arquitetura e urbanismo,80.02,69.81,56.0,2008
451.0,artes cenicas  hab em teatro,72.55,50.3,21.0,2008
324.0,biblioteconomia  noturno,63.51,41.52,56.0,2008
108.0,ciencias biologicas,82.5,66.85,42.0,2008
302.0,ciencias contabeis  diurno,72.32,52.4,56.0,2008
317.0,ciencias contabeis  noturno,75.79,55.9,56.0,2008
208.0,ciencias da computacao,82.88,64.83,70.0,2008
304.0,ciencias economicas  diurno,82.17,57.28,63.0,2008
318.0,ciencias economicas  noturno,77.76,57.54,63.0,2008
310.0,ciencias sociais  diurno,76.44,54.68,28.0,2008
320.0,ciencias sociais  noturno,76.79,53.29,28.0,2008
450.0,cinema,77.9,65.86,21.0,2008
420.0,design,81.25,64.59,42.0,2008
303.0,direito  diurno,85.62,75.1,56.0,2008
5.0,direito  noturno,81.6,72.41,56.0,2008
444.0,educacao fisica  bacharelado,70.29,54.16,42.0,2008
404.0,educacao fisica  licenciatura,72.5,51.29,42.0,2008
101.0,enfermagem,77.07,52.7,49.0,2008
220.0,eng de controle e automacao,83.21,75.19,42.0,2008
201.0,engenharia civil,78.47,67.42,70.0,2008
215.0,engenharia de alimentos,76.61,64.42,31.0,2008
234.0,engenharia de aquicultura,77.74,52.23,42.0,2008
233.0,engenharia de materiais,79.59,67.87,42.0,2008
212.0,engenharia de producao civil,77.3,67.33,28.0,2008
213.0,engenharia de producao eletrica,83.23,64.26,28.0,2008
214.0,engenharia de producao mecanica,79.48,73.46,28.0,2008
202.0,engenharia eletrica,85.05,68.04,70.0,2008
203.0,engenharia mecanica,87.42,75.66,70.0,2008
216.0,engenharia quimica,83.9,72.57,31.0,2008
211.0,engenharia sanitaria e ambiental,78.61,68.24,56.0,2008
102.0,farmacia,80.21,59.57,84.0,2008
329.0,filosofia  noturno,73.06,50.6,24.0,2008
328.0,filosofia  vespertinonoturno,67.84,44.49,24.0,2008
2.0,fisica  bacharelado  diurno,81.57,52.94,31.0,2008
225.0,fisica  licenciatura  noturno,72.79,39.56,45.0,2008
331.0,geografia  diurno,71.71,51.91,28.0,2008
332.0,geografia  noturno,68.64,51.33,28.0,2008
326.0,historia  diurno,75.2,54.78,31.0,2008
327.0,historia  noturno,70.63,54.04,31.0,2008
415.0,jornalismo,83.94,69.01,42.0,2008
421.0,letras  lingua alema,71.51,42.45,28.0,2008
423.0,letras  lingua espanhola,64.45,46.49,28.0,2008
424.0,letras  lingua francesa,74.78,47.61,28.0,2008
425.0,letras  lingua inglesa,68.42,55.51,28.0,2008
427.0,letras  lingua italiana,62.88,45.15,28.0,2008
428.0,letras  lingua portuguesa,83.43,41.73,56.0,2008
426.0,letras  lingua portuguesa  not,65.59,47.6,28.0,2008
429.0,letras  secretariado exec ingles,66.68,50.09,28.0,2008
223.0,matematica  licenc  diurno,67.87,33.39,45.0,2008
224.0,matematica  licenciatura  not,67.2,47.59,28.0,2008
222.0,matematica e comput cientifica,81.41,47.12,21.0,2008
103.0,medicina,91.68,81.04,70.0,2008
9.0,nutricao,80.21,62.27,28.0,2008
